ticker,trades,profit,final_value,return_pct
AAPL,199,287714.84,387714.84,287.71
AMD,98,314866.62,414866.62,314.87
AMZN,276,192780.66,292780.66,192.78
ARKK,203,79098.74,179098.74,79.1
BITO,208,55374.76,155374.76,55.37
DBA,94,93195.63,193195.63,93.2
DIA,226,65373.41,165373.41,65.37
GBTC,156,1969017.97,2069017.97,1969.02
GLD,193,69169.02,171617.71,71.62
GOOGL,192,300413.05,400413.05,300.41
IWM,124,137260.61,237260.61,137.26
META,205,329289.63,417554.53,317.55
MSFT,249,162399.67,259834.02,159.83
NFLX,257,269254.72,358580.18,258.58
NVDA,158,756430.55,856430.55,756.43
QQQ,252,64077.86,164077.86,64.08
SLV,229,122683.5,222683.5,122.68
SPY,259,71308.65,171308.65,71.31
TSLA,166,2190357.45,2290357.45,2190.36
UNG,231,11285.36,111285.36,11.29
USO,182,201917.19,301917.19,201.92
VOO,257,79790.91,179790.91,79.79
VTI,256,73122.79,173122.79,73.12
XLB,133,96494.6,196494.6,96.49
XLE,176,174441.68,274441.68,174.44
XLF,147,131495.01,231495.01,131.5
XLI,178,105982.62,205982.62,105.98
XLK,255,121432.14,221432.14,121.43
XLP,194,56023.02,156023.02,56.02
XLRE,135,39407.95,139407.95,39.41
XLU,146,84454.34,184454.34,84.45
XLV,209,52721.52,152721.52,52.72
XLY,219,133330.25,233330.25,133.33
