ticker,target_weight,source_weights,notes
NVDA,0.1500,0.1500,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=known
MSFT,0.1500,0.1500,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=known
AAPL,0.1500,0.1500,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=known
GOOGL,0.1500,0.1500,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=known
AMZN,0.1500,0.1500,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=known
ABBV,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
AMD,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
ARKK,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
BAC,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
BITO,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
BLK,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
BRK-B,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
C,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
CVX,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
DBA,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
DIA,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
DIS,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
GBTC,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
GLD,0.0167,0.0167,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
GS,0.0162,0.0162,baseline method=cap top=20 keep-missing-equal=1 missing-share=0.25 max-weight=0.15 known=5 missing=15 cap-effective=0.1500 ts=2025-10-01T00:50:43 group=missing
