ticker,target_weight,source_weights,notes
AAPL,0.0916,0.0916,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
ABBV,0.0599,0.0599,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
AMD,0.0490,0.0490,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
AMZN,0.0916,0.0916,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
ARKK,0.0281,0.0281,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
BAC,0.0599,0.0599,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
BITO,0.0278,0.0278,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
BLK,0.0426,0.0426,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
BRK-B,0.0916,0.0916,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
C,0.0434,0.0434,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
CVX,0.0505,0.0505,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
DBA,0.0278,0.0278,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
DIA,0.0307,0.0307,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
DIS,0.0446,0.0446,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
GBTC,0.0290,0.0290,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
GLD,0.0378,0.0378,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
GOOGL,0.0916,0.0916,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
GS,0.0477,0.0477,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
HD,0.0274,0.0274,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
INTC,0.0274,0.0274,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.125 known=20 missing=0 cap-effective=0.1250 ts=2025-10-09T22:17:59 turnover_raw=0.2368 alpha=0.2111 group=known
