ticker,model,feature,importance
AAPL,RandomForest,open,0.07910343443326232
AAPL,RandomForest,high,0.3966484573469178
AAPL,RandomForest,low,0.13535341936898013
AAPL,RandomForest,close,0.3873944329448272
AAPL,RandomForest,volume,0.0015002559060125042
AAPL,RandomForest,pe_ratio,0.0
AAPL,RandomForest,eps,0.0
AAPL,RandomForest,market_cap,0.0
AAPL,RandomForest,pb_ratio,0.0
AAPL,RandomForest,dividend_yield,0.0
AAPL,RandomForest,total_score,0.0
AAPL,RandomForest,open,0.07910343443326232
AAPL,RandomForest,high,0.3966484573469178
AAPL,RandomForest,low,0.13535341936898013
AAPL,RandomForest,close,0.3873944329448272
AAPL,RandomForest,volume,0.0015002559060125042
AAPL,RandomForest,pe_ratio,0.0
AAPL,RandomForest,eps,0.0
AAPL,RandomForest,market_cap,0.0
AAPL,RandomForest,pb_ratio,0.0
AAPL,RandomForest,dividend_yield,0.0
AAPL,RandomForest,total_score,0.0
AAPL,GradientBoosting,open,0.03278637236746958
AAPL,GradientBoosting,high,0.4281887216046651
AAPL,GradientBoosting,low,0.07773285549791016
AAPL,GradientBoosting,close,0.46063244088791666
AAPL,GradientBoosting,volume,0.0006596096420387102
AAPL,GradientBoosting,pe_ratio,0.0
AAPL,GradientBoosting,eps,0.0
AAPL,GradientBoosting,market_cap,0.0
AAPL,GradientBoosting,pb_ratio,0.0
AAPL,GradientBoosting,dividend_yield,0.0
AAPL,GradientBoosting,total_score,0.0
AAPL,LinearRegression,open,0.06322530247756843
AAPL,LinearRegression,high,0.10756242919015367
AAPL,LinearRegression,low,0.0867313571898899
AAPL,LinearRegression,close,0.742480908574501
AAPL,LinearRegression,volume,2.5678871136433233e-09
AAPL,LinearRegression,pe_ratio,8.102716765024595e-29
AAPL,LinearRegression,eps,3.03436255915678e-29
AAPL,LinearRegression,market_cap,0.0
AAPL,LinearRegression,pb_ratio,8.065916052011385e-29
AAPL,LinearRegression,dividend_yield,1.265932707893525e-30
AAPL,LinearRegression,total_score,0.0
ABBV,RandomForest,open,0.08575925986382651
ABBV,RandomForest,high,0.18898045266971344
ABBV,RandomForest,low,0.09269575404290595
ABBV,RandomForest,close,0.6318939799889883
ABBV,RandomForest,volume,0.0006705534345657757
ABBV,RandomForest,pe_ratio,0.0
ABBV,RandomForest,eps,0.0
ABBV,RandomForest,market_cap,0.0
ABBV,RandomForest,pb_ratio,0.0
ABBV,RandomForest,dividend_yield,0.0
ABBV,RandomForest,total_score,0.0
ABBV,RandomForest,open,0.08575925986382651
ABBV,RandomForest,high,0.18898045266971344
ABBV,RandomForest,low,0.09269575404290595
ABBV,RandomForest,close,0.6318939799889883
ABBV,RandomForest,volume,0.0006705534345657757
ABBV,RandomForest,pe_ratio,0.0
ABBV,RandomForest,eps,0.0
ABBV,RandomForest,market_cap,0.0
ABBV,RandomForest,pb_ratio,0.0
ABBV,RandomForest,dividend_yield,0.0
ABBV,RandomForest,total_score,0.0
ABBV,GradientBoosting,open,0.03517068499374458
ABBV,GradientBoosting,high,0.18089357826918268
ABBV,GradientBoosting,low,0.020096438651105487
ABBV,GradientBoosting,close,0.76360295883252
ABBV,GradientBoosting,volume,0.00023633925344716483
ABBV,GradientBoosting,pe_ratio,0.0
ABBV,GradientBoosting,eps,0.0
ABBV,GradientBoosting,market_cap,0.0
ABBV,GradientBoosting,pb_ratio,0.0
ABBV,GradientBoosting,dividend_yield,0.0
