ticker,reason
AAPL,Empty dataset or < 30 rows
ABBV,Empty dataset or < 30 rows
AMD,Empty dataset or < 30 rows
AMZN,Empty dataset or < 30 rows
BAC,Empty dataset or < 30 rows
BLK,Empty dataset or < 30 rows
BRK-B,Empty dataset or < 30 rows
C,Empty dataset or < 30 rows
CVX,Empty dataset or < 30 rows
DIS,Empty dataset or < 30 rows
GE,Empty dataset or < 30 rows
GOOGL,Empty dataset or < 30 rows
GS,Empty dataset or < 30 rows
HD,Empty dataset or < 30 rows
INTC,Empty dataset or < 30 rows
JNJ,Empty dataset or < 30 rows
JPM,Empty dataset or < 30 rows
KO,Empty dataset or < 30 rows
MA,Empty dataset or < 30 rows
META,Empty dataset or < 30 rows
MRK,Empty dataset or < 30 rows
MS,Empty dataset or < 30 rows
MSFT,Empty dataset or < 30 rows
NFLX,Empty dataset or < 30 rows
NVDA,Empty dataset or < 30 rows
PEP,Empty dataset or < 30 rows
PFE,Empty dataset or < 30 rows
PG,Empty dataset or < 30 rows
SCHW,Empty dataset or < 30 rows
T,Empty dataset or < 30 rows
TSLA,Empty dataset or < 30 rows
UNH,Empty dataset or < 30 rows
V,Empty dataset or < 30 rows
WFC,Empty dataset or < 30 rows
WMT,Empty dataset or < 30 rows
XOM,Empty dataset or < 30 rows
^DJI,Empty dataset or < 30 rows
^GSPC,Empty dataset or < 30 rows
^IXIC,Empty dataset or < 30 rows
^VIX,Empty dataset or < 30 rows
