date,ticker,action,price,quantity,entry_price,exit_price,signal,profit,stop_loss,take_profit
2020-08-05,AAPL,BUY,106.98835754394533,934,106.98835754394533,,BUY,,101.63893966674806,112.3377754211426
2020-08-06,AAPL,SELL,110.72109985351562,934,106.98835754394533,110.72109985351562,SELL,3486.3813171386587,101.63893966674806,112.3377754211426
2020-08-07,AAPL,BUY,108.20376586914062,956,108.20376586914062,,BUY,,102.79357757568359,113.61395416259766
2020-08-10,AAPL,SELL,109.7764892578125,956,108.20376586914062,109.7764892578125,SELL,1503.5235595703125,102.79357757568359,113.61395416259766
2020-08-11,AAPL,BUY,106.51175689697266,985,106.51175689697266,,BUY,,101.18616905212401,111.8373447418213
2020-08-14,AAPL,SELL,111.89942932128906,985,106.51175689697266,111.89942932128906,SELL,5306.85733795166,101.18616905212401,111.8373447418213
2020-08-17,AAPL,BUY,111.60726928710938,988,111.60726928710938,,BUY,,106.0269058227539,117.18763275146485
2020-08-21,AAPL,SELL,121.11421966552734,988,111.60726928710938,121.11421966552734,SELL,9392.866973876953,106.0269058227539,117.18763275146485
2020-08-26,AAPL,BUY,123.21036529541016,971,123.21036529541016,,BUY,,117.04984703063964,129.37088356018066
2020-08-31,AAPL,SELL,125.66194915771484,971,123.21036529541016,125.66194915771484,SELL,2380.4879302978516,117.04984703063964,129.37088356018066
2020-09-03,AAPL,BUY,117.715576171875,1036,117.715576171875,,BUY,,111.82979736328124,123.60135498046876
2020-09-04,AAPL,SELL,117.7934799194336,1036,117.715576171875,117.7934799194336,SELL,80.70828247070312,111.82979736328124,123.60135498046876
2020-09-08,AAPL,BUY,109.8665771484375,1111,109.8665771484375,,BUY,,104.37324829101561,115.35990600585939
2020-09-11,AAPL,SELL,109.06803894042967,1111,109.8665771484375,109.06803894042967,SELL,-887.1759490966955,104.37324829101561,115.35990600585939
2020-09-16,AAPL,BUY,109.19461822509766,1110,109.19461822509766,,BUY,,103.73488731384276,114.65434913635255
2020-09-18,AAPL,SELL,104.0431137084961,1110,109.19461822509766,104.0431137084961,SELL,-5718.170013427734,103.73488731384276,114.65434913635255
2020-09-23,AAPL,BUY,104.31578063964844,1107,104.31578063964844,,BUY,,99.09999160766601,109.53156967163086
2020-09-25,AAPL,SELL,109.3406982421875,1107,104.31578063964844,109.3406982421875,SELL,5562.583786010742,99.09999160766601,109.53156967163086
2020-09-29,AAPL,BUY,111.10330200195312,1090,111.10330200195312,,BUY,,105.54813690185546,116.65846710205079
2020-10-12,AAPL,SELL,121.1434326171875,1090,111.10330200195312,121.1434326171875,SELL,10943.742370605469,105.54813690185546,116.65846710205079
2020-10-14,AAPL,BUY,118.0174560546875,1118,118.0174560546875,,BUY,,112.11658325195312,123.91832885742188
2020-11-06,AAPL,SELL,115.78231811523438,1118,118.0174560546875,115.78231811523438,SELL,-2498.8842163085938,112.11658325195312,123.91832885742188
2020-11-09,AAPL,BUY,113.47036743164062,1141,113.47036743164062,,BUY,,107.79684906005859,119.14388580322266
2020-12-15,AAPL,SELL,124.74717712402344,1141,113.47036743164062,124.74717712402344,SELL,12866.839859008789,107.79684906005859,119.14388580322266
2020-12-16,AAPL,BUY,124.67889404296876,1142,124.67889404296876,,BUY,,118.44494934082032,130.9128387451172
2020-12-21,AAPL,SELL,125.0885772705078,1142,124.67889404296876,125.0885772705078,SELL,467.8582458495769,118.44494934082032,130.9128387451172
2020-12-22,AAPL,BUY,128.64915466308594,1110,128.64915466308594,,BUY,,122.21669692993163,135.08161239624025
2021-01-04,AAPL,SELL,126.23970794677734,1110,128.64915466308594,126.23970794677734,SELL,-2674.485855102539,122.21669692993163,135.08161239624025
2021-01-05,AAPL,BUY,127.80047607421876,1097,127.80047607421876,,BUY,,121.41045227050782,134.1904998779297
2021-01-08,AAPL,SELL,128.81497192382812,1097,127.80047607421876,128.81497192382812,SELL,1112.9019470214687,121.41045227050782,134.1904998779297
2021-01-11,AAPL,BUY,125.82022094726562,1123,125.82022094726562,,BUY,,119.52920989990234,132.11123199462892
2021-01-22,AAPL,SELL,135.66305541992188,1123,125.82022094726562,135.66305541992188,SELL,11053.503112792969,119.52920989990234,132.11123199462892
2021-01-26,AAPL,BUY,139.65286254882812,1091,139.65286254882812,,BUY,,132.67021942138672,146.63550567626953
2021-01-27,AAPL,SELL,138.57980346679688,1091,139.65286254882812,138.57980346679688,SELL,-1170.7074584960938,132.67021942138672,146.63550567626953
2021-01-28,AAPL,BUY,133.73155212402344,1130,133.73155212402344,,BUY,,127.04497451782225,140.41812973022462
