ticker,entry_date,exit_date,entry_price,exit_price,profit,return_pct,days_held
AAPL,2020-08-05,2020-08-06,106.99,110.72,3.73,3.49,1
AAPL,2020-08-07,2020-08-10,108.2,109.78,1.57,1.45,3
AAPL,2020-08-11,2020-08-14,106.51,111.9,5.39,5.06,3
AAPL,2020-08-17,2020-08-21,111.61,121.11,9.51,8.52,4
AAPL,2020-08-26,2020-08-31,123.21,125.66,2.45,1.99,5
AAPL,2020-09-03,2020-09-04,117.72,117.79,0.08,0.07,1
AAPL,2020-09-08,2020-09-11,109.87,109.07,-0.8,-0.73,3
AAPL,2020-09-16,2020-09-18,109.19,104.04,-5.15,-4.72,2
AAPL,2020-09-23,2020-09-25,104.32,109.34,5.02,4.82,2
AAPL,2020-09-29,2020-10-12,111.1,121.14,10.04,9.04,13
AAPL,2020-10-14,2020-11-06,118.02,115.78,-2.24,-1.89,23
AAPL,2020-11-09,2020-12-15,113.47,124.75,11.28,9.94,36
AAPL,2020-12-16,2020-12-21,124.68,125.09,0.41,0.33,5
AAPL,2020-12-22,2021-01-04,128.65,126.24,-2.41,-1.87,13
AAPL,2021-01-05,2021-01-08,127.8,128.81,1.01,0.79,3
AAPL,2021-01-11,2021-01-22,125.82,135.66,9.84,7.82,11
AAPL,2021-01-26,2021-01-27,139.65,138.58,-1.07,-0.77,1
AAPL,2021-01-28,2021-01-29,133.73,128.73,-5.0,-3.74,1
AAPL,2021-02-02,2021-02-04,131.68,134.02,2.34,1.78,2
AAPL,2021-02-05,2021-02-23,133.61,122.96,-10.65,-7.97,18
AAPL,2021-02-25,2021-03-01,118.2,124.85,6.64,5.62,4
AAPL,2021-03-02,2021-03-05,122.24,118.62,-3.61,-2.96,3
AAPL,2021-03-08,2021-08-16,113.68,148.11,34.43,30.29,161
AAPL,2021-08-17,2021-08-30,147.2,150.07,2.87,1.95,13
AAPL,2021-08-31,2021-09-15,148.81,146.06,-2.74,-1.84,15
AAPL,2021-09-16,2021-10-01,145.83,139.81,-6.02,-4.13,15
AAPL,2021-10-04,2021-10-06,136.37,139.17,2.8,2.06,2
AAPL,2021-10-07,2021-10-29,140.44,146.82,6.38,4.54,22
AAPL,2021-11-01,2021-11-18,145.99,154.95,8.96,6.14,17
AAPL,2021-11-22,2021-11-23,158.04,158.43,0.38,0.24,1
AAPL,2021-11-26,2021-11-30,153.91,162.24,8.33,5.41,4
AAPL,2021-12-01,2021-12-02,161.72,160.73,-0.99,-0.61,1
AAPL,2021-12-06,2021-12-07,162.26,168.02,5.75,3.54,1
AAPL,2021-12-09,2021-12-10,171.33,176.13,4.8,2.8,1
AAPL,2021-12-13,2021-12-14,172.49,171.11,-1.38,-0.8,1
AAPL,2021-12-16,2021-12-20,169.08,166.61,-2.46,-1.46,4
AAPL,2021-12-23,2021-12-27,173.02,177.0,3.98,2.3,4
AAPL,2021-12-28,2022-01-03,175.98,178.65,2.67,1.52,6
AAPL,2022-01-04,2022-01-10,176.38,169.01,-7.37,-4.18,6
AAPL,2022-01-12,2022-01-24,172.29,158.63,-13.65,-7.92,12
AAPL,2022-01-25,2022-01-26,156.83,156.74,-0.09,-0.06,1
AAPL,2022-01-27,2022-01-28,156.28,167.18,10.9,6.98,1
AAPL,2022-02-03,2022-02-09,169.7,173.24,3.54,2.08,6
AAPL,2022-02-10,2022-02-15,169.15,169.81,0.66,0.39,5
AAPL,2022-02-17,2022-02-24,165.97,159.94,-6.03,-3.64,7
AAPL,2022-03-01,2022-03-02,160.39,163.69,3.3,2.06,1
AAPL,2022-03-03,2022-03-09,163.37,160.14,-3.22,-1.97,6
AAPL,2022-03-11,2022-03-15,152.06,152.42,0.35,0.23,4
AAPL,2022-03-21,2022-03-22,162.53,165.91,3.38,2.08,1
AAPL,2022-03-23,2022-03-24,167.28,171.07,3.79,2.27,1
AAPL,2022-03-30,2022-04-01,174.71,171.31,-3.4,-1.95,2
AAPL,2022-04-05,2022-04-13,172.04,167.46,-4.58,-2.66,8
AAPL,2022-04-14,2022-04-19,162.44,164.52,2.07,1.28,5
AAPL,2022-04-20,2022-04-25,164.35,160.07,-4.28,-2.6,5
AAPL,2022-04-26,2022-04-28,154.1,160.82,6.72,4.36,2
AAPL,2022-04-29,2022-05-02,154.93,155.24,0.3,0.2,3
AAPL,2022-05-06,2022-05-12,154.8,140.31,-14.49,-9.36,6
AAPL,2022-05-16,2022-05-17,143.24,146.88,3.64,2.54,1
AAPL,2022-05-18,2022-05-20,138.6,135.42,-3.18,-2.29,2
AAPL,2022-05-25,2022-05-26,138.3,141.51,3.21,2.32,1
AAPL,2022-05-31,2022-06-02,146.49,148.82,2.33,1.59,2
AAPL,2022-06-03,2022-06-30,143.08,134.56,-8.52,-5.96,27
AAPL,2022-07-01,2022-07-05,136.74,139.32,2.59,1.89,4
AAPL,2022-07-06,2022-07-14,140.66,146.13,5.46,3.88,8
AAPL,2022-07-15,2022-07-19,147.8,148.62,0.82,0.55,4
AAPL,2022-07-20,2022-07-21,150.62,152.9,2.27,1.51,1
AAPL,2022-07-22,2022-07-27,151.66,154.31,2.66,1.75,5
AAPL,2022-08-01,2022-08-03,158.96,163.51,4.55,2.86,2
AAPL,2022-08-04,2022-08-10,163.19,166.8,3.61,2.21,6
AAPL,2022-08-11,2022-08-12,166.06,169.62,3.56,2.14,1
AAPL,2022-08-15,2022-09-01,170.69,155.68,-15.01,-8.79,17
AAPL,2022-09-02,2022-09-12,153.56,161.07,7.51,4.89,10
AAPL,2022-09-13,2022-09-16,151.62,148.53,-3.09,-2.04,3
AAPL,2022-09-20,2022-09-23,154.64,148.26,-6.38,-4.12,3
AAPL,2022-09-26,2022-09-28,148.6,147.68,-0.92,-0.62,2
AAPL,2022-09-30,2022-10-03,136.21,140.4,4.19,3.08,3
AAPL,2022-10-04,2022-10-13,143.99,140.93,-3.07,-2.13,9
AAPL,2022-10-14,2022-10-18,136.38,141.68,5.29,3.88,4
AAPL,2022-10-19,2022-10-28,141.79,153.49,11.71,8.26,9
AAPL,2022-10-31,2022-11-04,151.13,136.61,-14.52,-9.61,4
AAPL,2022-11-08,2022-11-10,137.72,144.99,7.28,5.28,2
AAPL,2022-11-14,2022-11-30,146.38,146.14,-0.25,-0.17,16
AAPL,2022-12-01,2022-12-12,146.41,142.64,-3.77,-2.58,11
AAPL,2022-12-13,2023-01-20,143.61,136.11,-7.5,-5.22,38
AAPL,2023-01-23,2023-01-25,139.31,140.05,0.74,0.53,2
AAPL,2023-01-26,2023-02-01,142.12,143.57,1.45,1.02,6
AAPL,2023-02-03,2023-02-23,152.52,147.71,-4.81,-3.15,20
AAPL,2023-02-24,2023-03-03,145.06,149.33,4.27,2.94,7
AAPL,2023-03-06,2023-03-15,152.09,151.26,-0.83,-0.55,9
AAPL,2023-03-16,2023-03-20,154.09,155.62,1.53,0.99,4
AAPL,2023-03-22,2023-03-31,156.05,163.04,6.99,4.48,9
AAPL,2023-04-03,2023-04-05,164.3,161.91,-2.38,-1.45,2
AAPL,2023-04-06,2023-04-13,162.8,163.69,0.89,0.55,7
AAPL,2023-04-14,2023-05-05,163.35,171.61,8.27,5.06,21
AAPL,2023-05-08,2023-05-17,171.54,170.98,-0.56,-0.33,9
AAPL,2023-05-18,2023-06-01,173.31,178.3,4.99,2.88,14
AAPL,2023-06-05,2023-06-06,177.8,177.43,-0.37,-0.21,1
AAPL,2023-06-07,2023-06-08,176.06,178.78,2.72,1.55,1
AAPL,2023-06-09,2023-06-12,179.17,181.97,2.8,1.56,3
AAPL,2023-06-13,2023-06-14,181.49,182.13,0.63,0.35,1
AAPL,2023-06-15,2023-06-16,184.17,183.09,-1.08,-0.59,1
AAPL,2023-06-20,2023-06-22,183.18,185.15,1.97,1.08,2
AAPL,2023-06-23,2023-06-30,184.83,192.05,7.22,3.91,7
AAPL,2023-07-03,2023-07-06,190.55,189.91,-0.64,-0.34,3
AAPL,2023-07-07,2023-07-10,188.79,186.74,-2.05,-1.09,3
AAPL,2023-07-12,2023-07-31,187.89,194.5,6.61,3.52,19
AAPL,2023-08-01,2023-08-07,193.67,177.08,-16.59,-8.57,6
AAPL,2023-08-10,2023-08-21,176.21,174.33,-1.87,-1.06,11
AAPL,2023-08-22,2023-08-25,175.71,177.08,1.37,0.78,3
AAPL,2023-08-31,2023-09-05,186.26,188.07,1.81,0.97,5
AAPL,2023-09-08,2023-09-11,176.65,177.82,1.17,0.66,3
AAPL,2023-09-13,2023-09-15,172.72,173.51,0.79,0.46,2
AAPL,2023-09-18,2023-10-06,176.44,175.97,-0.48,-0.27,18
AAPL,2023-10-10,2023-10-17,176.86,175.63,-1.23,-0.7,7
AAPL,2023-10-18,2023-10-24,174.33,171.95,-2.38,-1.36,6
AAPL,2023-10-25,2023-10-31,169.63,169.31,-0.33,-0.19,6
AAPL,2023-11-02,2023-11-03,176.05,175.14,-0.91,-0.52,1
AAPL,2023-11-07,2023-11-10,180.26,185.04,4.78,2.65,3
AAPL,2023-11-13,2023-11-14,183.46,186.08,2.62,1.43,1
AAPL,2023-11-15,2023-11-17,186.64,188.31,1.67,0.89,2
AAPL,2023-11-20,2023-11-30,190.06,188.57,-1.49,-0.78,10
AAPL,2023-12-05,2023-12-08,192.01,194.29,2.27,1.18,3
AAPL,2023-12-19,2023-12-27,195.51,191.75,-3.76,-1.92,8
AAPL,2023-12-28,2024-01-02,192.17,184.29,-7.88,-4.1,5
AAPL,2024-01-03,2024-01-08,182.91,184.21,1.3,0.71,5
AAPL,2024-01-10,2024-01-11,184.84,184.24,-0.6,-0.32,1
AAPL,2024-01-12,2024-01-16,184.57,182.3,-2.27,-1.23,4
AAPL,2024-01-22,2024-01-23,192.48,193.76,1.28,0.67,1
AAPL,2024-01-24,2024-01-29,193.09,190.34,-2.75,-1.42,5
AAPL,2024-01-30,2024-02-01,186.67,185.5,-1.17,-0.63,2
AAPL,2024-02-06,2024-02-13,187.92,183.93,-3.99,-2.13,7
AAPL,2024-02-16,2024-02-20,181.22,180.47,-0.75,-0.41,4
AAPL,2024-02-21,2024-02-27,181.23,181.53,0.31,0.17,6
AAPL,2024-02-28,2024-02-29,180.33,179.66,-0.67,-0.37,1
AAPL,2024-03-04,2024-03-12,174.05,172.19,-1.86,-1.07,8
AAPL,2024-03-13,2024-03-15,170.1,171.58,1.48,0.87,2
AAPL,2024-03-18,2024-03-19,172.68,175.02,2.35,1.36,1
AAPL,2024-03-21,2024-03-22,170.34,171.25,0.9,0.53,1
AAPL,2024-03-25,2024-04-11,169.82,173.99,4.16,2.45,17
AAPL,2024-04-12,2024-05-02,175.49,171.99,-3.5,-1.99,20
AAPL,2024-05-06,2024-05-08,180.62,181.64,1.02,0.57,2
AAPL,2024-05-10,2024-05-31,182.2,191.36,9.16,5.03,21
AAPL,2024-06-03,2024-06-04,193.13,193.45,0.32,0.16,1
AAPL,2024-06-05,2024-06-07,194.96,195.97,1.02,0.52,2
AAPL,2024-06-12,2024-06-13,212.08,213.24,1.16,0.55,1
AAPL,2024-06-24,2024-06-26,207.17,212.26,5.09,2.46,2
AAPL,2024-07-12,2024-07-15,229.47,233.31,3.84,1.67,3
AAPL,2024-07-19,2024-07-22,223.27,222.92,-0.35,-0.16,3
AAPL,2024-07-31,2024-08-01,221.05,217.34,-3.7,-1.68,1
AAPL,2024-08-02,2024-08-05,218.84,208.3,-10.54,-4.82,3
AAPL,2024-08-07,2024-08-08,208.84,212.32,3.47,1.66,1
AAPL,2024-08-12,2024-08-13,216.77,220.49,3.73,1.72,1
AAPL,2024-08-20,2024-08-21,225.72,225.61,-0.11,-0.05,1
AAPL,2024-08-28,2024-08-30,225.7,228.2,2.5,1.11,2
AAPL,2024-09-05,2024-09-09,221.6,220.14,-1.46,-0.66,4
AAPL,2024-09-18,2024-09-19,219.92,228.07,8.15,3.71,1
AAPL,2024-09-23,2024-09-24,225.68,226.57,0.9,0.4,1
AAPL,2024-09-27,2024-09-30,226.99,232.18,5.19,2.29,3
AAPL,2024-10-07,2024-10-08,220.91,224.98,4.07,1.84,1
AAPL,2024-10-11,2024-10-14,226.75,230.49,3.74,1.65,3
AAPL,2024-10-15,2024-10-16,233.03,230.97,-2.06,-0.89,1
AAPL,2024-10-25,2024-10-29,230.6,232.85,2.25,0.98,4
AAPL,2024-10-30,2024-10-31,229.29,225.12,-4.18,-1.82,1
AAPL,2024-11-01,2024-11-04,222.13,221.23,-0.9,-0.4,3
AAPL,2024-11-06,2024-11-07,221.94,226.68,4.74,2.14,1
AAPL,2024-11-08,2024-11-11,226.41,223.69,-2.72,-1.2,3
AAPL,2024-11-18,2024-11-20,227.47,228.45,0.98,0.43,2
AAPL,2024-11-22,2024-11-25,229.32,232.31,2.99,1.31,3
AAPL,2024-12-06,2024-12-09,242.26,246.16,3.9,1.61,3
AAPL,2024-12-11,2024-12-12,245.9,247.36,1.47,0.6,1
AAPL,2024-12-18,2024-12-19,247.45,249.19,1.74,0.7,1
AAPL,2025-01-07,2025-01-08,241.63,242.12,0.49,0.2,1
AAPL,2025-01-14,2025-01-15,232.72,237.3,4.58,1.97,1
AAPL,2025-01-16,2025-01-17,227.71,229.43,1.72,0.75,1
AAPL,2025-01-23,2025-01-24,223.12,222.24,-0.88,-0.39,1
AAPL,2025-01-30,2025-01-31,237.02,235.43,-1.59,-0.67,1
AAPL,2025-02-07,2025-02-12,227.08,236.56,9.48,4.17,5
AAPL,2025-02-21,2025-02-24,245.23,246.78,1.55,0.63,3
AAPL,2025-02-27,2025-02-28,236.99,241.52,4.53,1.91,1
AAPL,2025-03-04,2025-03-05,235.62,235.43,-0.19,-0.08,1
AAPL,2025-03-06,2025-03-07,235.02,238.76,3.74,1.59,1
AAPL,2025-03-19,2025-03-21,214.96,217.98,3.03,1.41,2
AAPL,2025-03-26,2025-03-27,221.24,223.56,2.32,1.05,1
AAPL,2025-03-28,2025-03-31,217.61,221.84,4.22,1.94,3
AAPL,2025-04-04,2025-04-09,188.13,198.59,10.46,5.56,5
AAPL,2025-04-16,2025-04-17,194.02,196.72,2.71,1.39,1
AAPL,2025-04-22,2025-04-24,199.48,208.1,8.62,4.32,2
AAPL,2025-04-29,2025-04-30,210.93,212.22,1.29,0.61,1
AAPL,2025-05-05,2025-05-07,198.63,195.99,-2.64,-1.33,2
AAPL,2025-05-09,2025-05-12,198.27,210.79,12.52,6.31,3
AAPL,2025-05-21,2025-05-27,202.09,200.21,-1.88,-0.93,6
AAPL,2025-05-28,2025-05-29,200.42,199.95,-0.47,-0.23,1
AAPL,2025-06-02,2025-06-03,201.7,203.27,1.57,0.78,1
AAPL,2025-06-04,2025-06-12,202.82,199.2,-3.62,-1.78,8
AAPL,2025-06-13,2025-06-16,196.45,198.42,1.97,1.0,3
AAPL,2025-06-17,2025-06-20,195.64,201.0,5.36,2.74,3
AAPL,2025-06-24,2025-06-26,200.3,201.0,0.7,0.35,2
AAPL,2025-06-27,2025-06-30,201.08,205.17,4.09,2.03,3
AAPL,2025-07-01,2025-07-02,207.82,212.44,4.62,2.22,1
AMD,2020-08-05,2020-08-10,85.31,82.24,-3.07,-3.6,5
AMD,2020-08-11,2020-09-04,76.88,82.01,5.13,6.67,24
AMD,2020-09-08,2020-10-27,78.69,78.88,0.19,0.24,49
AMD,2020-10-28,2021-01-27,76.4,88.84,12.44,16.28,91
AMD,2021-01-28,2021-02-23,87.52,84.74,-2.78,-3.18,26
AMD,2021-02-24,2021-03-05,86.94,78.52,-8.42,-9.68,9
AMD,2021-03-08,2021-04-28,73.96,84.02,10.06,13.6,51
AMD,2021-04-29,2021-07-28,83.91,97.93,14.02,16.71,90
AMD,2021-08-06,2021-08-09,110.11,107.58,-2.53,-2.3,3
AMD,2021-08-12,2021-08-13,106.5,110.55,4.05,3.8,1
AMD,2021-08-17,2021-08-31,107.56,110.72,3.16,2.94,14
AMD,2021-09-01,2021-10-25,109.99,122.36,12.37,11.25,54
AMD,2021-10-26,2021-10-28,122.93,121.16,-1.77,-1.44,2
AMD,2021-10-29,2021-11-01,120.23,125.23,5.0,4.16,3
AMD,2021-11-22,2021-11-23,152.52,149.92,-2.6,-1.7,1
AMD,2021-12-14,2021-12-15,135.6,146.5,10.9,8.04,1
AMD,2021-12-17,2021-12-20,137.75,135.8,-1.95,-1.42,3
AMD,2021-12-23,2021-12-27,146.14,154.36,8.22,5.62,4
AMD,2021-12-31,2022-01-03,143.9,150.24,6.34,4.41,3
AMD,2022-01-18,2022-01-19,131.93,128.27,-3.66,-2.77,1
AMD,2022-01-21,2022-01-24,118.81,116.53,-2.28,-1.92,3
AMD,2022-02-03,2022-02-04,120.08,123.6,3.52,2.93,1
AMD,2022-02-07,2022-02-08,123.67,128.23,4.56,3.69,1
AMD,2022-03-14,2022-03-15,102.25,109.33,7.08,6.92,1
AMD,2022-03-23,2022-03-24,113.92,120.53,6.61,5.8,1
AMD,2022-04-12,2022-05-03,95.1,91.13,-3.97,-4.17,21
AMD,2022-05-11,2022-05-12,87.92,87.06,-0.86,-0.98,1
AMD,2022-05-16,2022-05-17,94.24,102.47,8.23,8.73,1
AMD,2022-05-18,2022-05-19,96.28,96.67,0.39,0.41,1
AMD,2022-06-03,2022-06-06,106.3,105.65,-0.65,-0.61,3
AMD,2022-06-09,2022-06-10,98.8,94.82,-3.98,-4.03,1
AMD,2022-06-13,2022-06-16,86.99,82.05,-4.94,-5.68,3
AMD,2022-06-21,2022-06-23,83.79,82.43,-1.36,-1.62,2
AMD,2022-06-24,2022-06-29,87.08,77.99,-9.09,-10.44,5
AMD,2022-06-30,2022-07-21,76.47,91.09,14.62,19.12,21
AMD,2022-07-22,2022-08-01,88.1,96.78,8.68,9.85,10
AMD,2022-08-02,2022-08-03,99.29,98.09,-1.2,-1.21,1
AMD,2022-08-05,2022-08-08,102.31,100.07,-2.24,-2.19,3
AMD,2022-08-11,2022-09-01,98.12,82.33,-15.79,-16.09,21
AMD,2022-09-02,2022-10-07,80.24,58.44,-21.8,-27.17,35
AMD,2022-10-10,2023-02-01,57.81,84.64,26.83,46.41,114
AMD,2023-02-02,2023-03-16,88.31,96.6,8.29,9.39,42
AMD,2023-03-17,2023-03-20,97.84,96.81,-1.03,-1.05,3
AMD,2023-03-21,2023-05-17,95.93,103.75,7.82,8.15,57
AMD,2023-05-18,2023-05-25,107.93,120.35,12.42,11.51,7
AMD,2023-06-01,2023-06-06,119.47,124.23,4.76,3.98,5
AMD,2023-06-09,2023-06-12,124.92,129.19,4.27,3.42,3
AMD,2023-06-20,2023-06-21,118.93,112.11,-6.82,-5.73,1
AMD,2023-06-22,2023-06-23,110.7,110.01,-0.69,-0.62,1
AMD,2023-06-26,2023-06-29,107.51,111.24,3.73,3.47,3
AMD,2023-06-30,2023-07-10,113.91,113.58,-0.33,-0.29,10
AMD,2023-07-11,2023-07-13,111.32,115.92,4.6,4.13,2
AMD,2023-07-14,2023-07-17,115.94,118.32,2.38,2.05,3
AMD,2023-07-24,2023-07-31,110.61,114.4,3.79,3.43,7
AMD,2023-08-03,2023-08-08,113.15,113.23,0.08,0.07,5
AMD,2023-08-10,2023-08-24,110.23,101.8,-8.43,-7.65,14
AMD,2023-08-25,2023-09-05,102.25,110.78,8.53,8.34,11
AMD,2023-09-06,2023-09-11,109.28,105.32,-3.96,-3.62,5
AMD,2023-09-12,2023-10-05,105.31,102.91,-2.4,-2.28,23
AMD,2023-10-06,2023-10-31,107.24,98.5,-8.74,-8.15,25
AMD,2023-11-03,2023-11-15,112.25,118.0,5.75,5.12,12
